id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
28532474,31055589,11000.0,11000.0,11000.0, 36 months,12.49,367.94,B,B5,Transpertation Manager,6 years,MORTGAGE,57000.0,Not Verified,Oct-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=28532474,debt_consolidation,Debt consolidation,321xx,FL,15.75,0.0,May-2002,3.0,10.0,0.0,8274.0,32.2,31.0,f,0.0,0.0,12212.25,12212.25,11000.0,1212.25,0.0,0.0,0.0,Oct-2015,8164.91,Oct-2015,0.0,INDIVIDUAL,0.0,590.0,192641.0,25700.0
5895314,7357454,16000.0,16000.0,16000.0, 60 months,15.88,388.07,C,C4,The Miriam Hospital,3 years,MORTGAGE,75000.0,Verified,Jul-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5895314,debt_consolidation,debt consolidation,028xx,RI,3.65,1.0,May-2001,3.0,7.0,0.0,10212.0,44.8,29.0,f,0.0,0.0,18913.8459699,18913.85,16000.0,2913.85,0.0,0.0,0.0,Oct-2014,13485.63,Oct-2014,0.0,INDIVIDUAL,0.0,0.0,10212.0,22800.0
33180781,35824045,18000.0,18000.0,18000.0, 60 months,23.43,511.89,F,F1,Principal Architect,1 year,MORTGAGE,250000.0,Source Verified,Nov-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=33180781,home_improvement,Home improvement,957xx,CA,3.98,1.0,Mar-1995,4.0,15.0,0.0,11615.0,14.9,62.0,w,0.0,0.0,19363.33,19363.33,18000.0,1363.33,0.0,0.0,0.0,Mar-2015,17851.09,Feb-2015,0.0,INDIVIDUAL,0.0,434.0,1234441.0,78200.0
13008745,15040917,12000.0,12000.0,12000.0, 60 months,14.64,283.22,C,C3,Sales,< 1 year,OWN,45000.0,Source Verified,Mar-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13008745,other,Other,972xx,OR,17.04,0.0,Jun-1983,1.0,10.0,1.0,1207.0,3.8,17.0,f,0.0,0.0,14362.41,14362.41,12000.0,2362.41,0.0,0.0,0.0,Aug-2015,9830.89,Sep-2015,0.0,INDIVIDUAL,0.0,0.0,26201.0,31500.0
6876175,8498272,18000.0,18000.0,18000.0, 60 months,17.56,452.79,D,D1,University of Rochester,10+ years,MORTGAGE,55059.0,Verified,Aug-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6876175,debt_consolidation,Loan Cosolidation,146xx,NY,24.49,0.0,Dec-1996,0.0,10.0,0.0,10987.0,68.2,32.0,f,0.0,0.0,20968.1519244,20968.15,18000.0,2968.15,0.0,0.0,0.0,Sep-2014,15988.36,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,171418.0,16100.0
14589737,16652057,4800.0,4800.0,4800.0, 36 months,15.31,167.13,C,C4,Reporter,3 years,RENT,50000.0,Source Verified,Apr-2014,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=14589737,other,Other,731xx,OK,19.35,0.0,Dec-1978,1.0,17.0,0.0,11336.0,19.7,24.0,w,0.0,0.0,4861.24,4861.24,4800.0,61.24,0.0,0.0,0.0,Jun-2014,4861.24,Jan-2016,0.0,INDIVIDUAL,0.0,418.0,43741.0,54100.0
1586788,1856102,2500.0,2500.0,2500.0, 36 months,11.14,82.02,B,B2,Hotel Erwin,3 years,RENT,52000.0,Not Verified,Oct-2012,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1586788,major_purchase,Major purchase,904xx,CA,10.08,0.0,May-1998,0.0,4.0,0.0,4922.0,94.7,7.0,f,0.0,0.0,2915.93112832,2915.93,2500.0,415.93,0.0,0.0,0.0,Oct-2015,27.57,Dec-2015,0.0,INDIVIDUAL,0.0,0.0,5559.0,5200.0
2934590,3546746,10575.0,10575.0,10575.0, 36 months,14.09,361.9,B,B5,The Ohio State University,4 years,RENT,47000.0,Verified,Jan-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=2934590,debt_consolidation,Pay off Debt,430xx,OH,26.68,0.0,May-1995,0.0,12.0,1.0,10499.0,56.8,22.0,f,0.0,0.0,12548.9744074,12548.97,10575.0,1973.97,0.0,0.0,0.0,Oct-2014,5315.65,Oct-2014,0.0,INDIVIDUAL,0.0,1014.0,19284.0,18500.0
8997121,10789133,11000.0,11000.0,11000.0, 36 months,7.9,344.2,A,A4,OB nurse,4 years,RENT,73000.0,Not Verified,Nov-2013,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8997121,credit_card,Save interest,995xx,AK,13.4,0.0,Apr-2000,1.0,10.0,1.0,12005.0,63.9,23.0,w,0.0,0.0,11703.93,11703.93,11000.0,703.93,0.0,0.0,0.0,Dec-2014,2673.53,Jan-2016,0.0,INDIVIDUAL,0.0,0.0,21621.0,18800.0
1485972,1744949,28800.0,28800.0,28800.0, 36 months,24.89,1143.41,G,G4,Manulife Asset Management,10+ years,MORTGAGE,450000.0,Source Verified,Sep-2012,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1485972,home_improvement,2012 Home Improvements,020xx,MA,15.4,0.0,Oct-1982,1.0,31.0,0.0,114511.0,84.1,56.0,f,0.0,0.0,40988.705936,40988.71,28800.0,12188.71,0.0,0.0,0.0,May-2015,5555.58,Aug-2015,0.0,INDIVIDUAL,0.0,0.0,945732.0,157600.0
